Mã chi nhánh (Bravo),Tên chi nhánh (Bravo),Tỉnh,Kênh bán hàng,Kho vật lý,Khu vực,Tổng công ty
branch_code,branch_name,branch_province,branch_channel,warehouseid,branch_area,branch_corporation
117,CHI NHÁNH BÌNH DƯƠNG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. HCM,UNILUX,HUBR00015,DNB,000
012,CHI NHÁNH TẠI BÌNH THUẬN - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Lâm Đồng,UNIS,HUBR00016,MT-TNG,000
064,CHI NHÁNH TẠI BÌNH THUẬN - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Lâm Đồng,UNIMAX,HUBR00016,MT-TNG,000
113,CHI NHÁNH TẠI BÌNH THUẬN - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Lâm Đồng,UNICHEMI,HUBR00016,MT-TNG,000
121,CHI NHÁNH TẠI BÌNH THUẬN - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Lâm Đồng,UNILUX,HUBR00016,MT-TNG,000
013,CHI NHÁNH BÌNH PHƯỚC - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNIS,HUBR00017,DNB,000
061,CHI NHÁNH BÌNH PHƯỚC - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNIMAX,HUBR00017,DNB,000
097,CHI NHÁNH BÌNH PHƯỚC - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNILUX,HUBR00017,DNB,000
122,CHI NHÁNH BÌNH PHƯỚC - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNILUX,HUBR00017,DNB,000
022,CHI NHÁNH TẠI TÂY NINH - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tây Ninh,UNIS,HUBR00018,HCM,000
094,CHI NHÁNH TẠI TÂY NINH - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tây Ninh,UNIMAX,HUBR00018,HCM,000
024,CHI NHÁNH KIÊN GIANG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,An Giang,UNIS,HUBR00019,TNB,000
098,CHI NHÁNH KIÊN GIANG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,An Giang,UNIMAX,HUBR00019,TNB,000
119,CHI NHÁNH KIÊN GIANG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,An Giang,UNILUX,HUBR00019,TNB,000
000,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,,UNIS,,,222
067,CHI NHÁNH KHÁNH HÒA - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,,UNIMAX,,MT-TNG,000
070,CHI NHÁNH BÌNH ĐỊNH - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,,UNIMAX,,MT-TNG,000
093,CÔNG TY TNHH LOTINA,,LOTINA,,,222
111,CÔNG TY TNHH LOTINA,,UNIMAX,,,222
222,CÔNG TY TNHH LOTINA,,UNILUX,,,222
