Sản phẩm,FSKU Nhà máy,Quy cách,Bộ mẫu,Nhà máy,Nơi kéo,Tình trạng,SL Tồn NM ,Đơn vị
category,factory_sku,transport_spec,pattern_set,factory_code,pull_source_code,status,quantity,uom
GACH,USGM3601,30x60 G Matt,USGM3601 - USGM3602 - USGM3603,39,Hưng Yên,ACT,"1,554",HOP
