item_code,period_start,qty
05.L1.3060.USG36005D,2026-01-01,188.0
05.L1.3060.USG36005D,2026-02-01,168.0
05.L1.3060.USG36005D,2026-03-01,170.0
05.L1.3060.USG36006,2025-12-01,6218.0
05.L1.3060.USG36006,2026-01-01,3970.0
05.L1.3060.USG36006,2026-02-01,4345.0
05.L1.3060.USG36006,2026-03-01,3685.0
05.L1.3060.USG36007,2025-12-01,2350.0
05.L1.3060.USG36007,2026-01-01,2071.0
05.L1.3060.USG36007,2026-02-01,1340.0
05.L1.3060.USG36007,2026-03-01,2923.0
05.L1.3060.USG36007D,2025-12-01,214.0
05.L1.3060.USG36007D,2026-01-01,188.0
05.L1.3060.USG36007D,2026-02-01,121.0
05.L1.3060.USG36007D,2026-03-01,265.0
05.L1.3060.USG36008,2025-12-01,1683.0
05.L1.3060.USG36008,2026-01-01,1701.0
05.L1.3060.USG36008,2026-02-01,1101.0
05.L1.3060.USG36008,2026-03-01,2402.0
05.L1.3060.USG36009,2025-12-01,2625.0
05.L1.3060.USG36009,2026-01-01,2271.0
05.L1.3060.USG36009,2026-02-01,1470.0
05.L1.3060.USG36009,2026-03-01,3207.0
05.L1.3060.USG36009D,2025-12-01,332.0
05.L1.3060.USG36009D,2026-01-01,561.0
05.L1.3060.USG36009D,2026-02-01,365.0
05.L1.3060.USG36009D,2026-03-01,617.0
05.L1.3060.USG36010,2025-12-01,2023.0
05.L1.3060.USG36010,2026-01-01,2048.0
05.L1.3060.USG36010,2026-02-01,1325.0
05.L1.3060.USG36010,2026-03-01,2891.0
05.L1.6060.686001,2025-12-01,750.0
05.L1.6060.686001,2026-01-01,648.0
05.L1.6060.686001,2026-02-01,584.0
05.L1.6060.686001,2026-03-01,587.0
05.L1.6060.686002,2025-12-01,494.0
05.L1.6060.686002,2026-01-01,485.0
05.L1.6060.686002,2026-02-01,468.0
05.L1.6060.686002,2026-03-01,511.0
05.L1.6060.686003,2025-12-01,2157.0
05.L1.6060.686003,2026-01-01,2390.0
05.L1.6060.686003,2026-02-01,2385.0
05.L1.6060.686003,2026-03-01,2414.0
05.L1.6060.686004,2025-12-01,2271.0
05.L1.6060.686004,2026-01-01,2735.0
05.L1.6060.686004,2026-02-01,2945.0
05.L1.6060.686004,2026-03-01,2976.0
05.L1.6060.686005,2025-12-01,1300.0
05.L1.6060.686005,2026-01-01,1348.0
05.L1.6060.686005,2026-02-01,1348.0
05.L1.6060.686005,2026-03-01,1308.0
05.L1.6060.686006,2025-12-01,1686.0
05.L1.6060.686006,2026-01-01,1460.0
05.L1.6060.686006,2026-02-01,1316.0
05.L1.6060.686006,2026-03-01,1372.0
05.L1.6060.686007,2025-12-01,1433.0
05.L1.6060.686007,2026-01-01,1596.0
05.L1.6060.686007,2026-02-01,1647.0
05.L1.6060.686007,2026-03-01,1654.0
05.L1.6060.IP6001,2025-12-01,2800.0
05.L1.6060.IP6001,2026-01-01,0.0
05.L1.6060.IP6001,2026-02-01,0.0
05.L1.6060.IP6001,2026-03-01,0.0
05.L1.6060.IP6002,2025-12-01,1821.0
05.L1.6060.IP6002,2026-01-01,241.0
05.L1.6060.IP6002,2026-02-01,166.0
05.L1.6060.IP6002,2026-03-01,532.0
05.L1.6060.IP6003,2025-12-01,320.0
05.L1.6060.IP6003,2026-01-01,0.0
05.L1.6060.IP6003,2026-02-01,0.0
05.L1.6060.IP6003,2026-03-01,0.0
05.L1.6060.IP6004,2025-12-01,112.0
05.L1.6060.IP6004,2026-01-01,78.0
05.L1.6060.IP6004,2026-02-01,86.0
